Src,EqId,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15254537,"Sunday, December 02, 2012 07:48:21 UTC",36.0832,-117.851,2.5,0.3,?,"48km N of Inyokern, California"
ak,10611353,"Sunday, December 02, 2012 06:37:08 UTC",51.5837,-176.5371,3.2,58.2,?,"34km SSE of Adak, Alaska"
ak,10611333,"Sunday, December 02, 2012 05:51:04 UTC",51.4856,-178.0717,2.9,6.6,?,"44km S of Tanaga Volcano, Alaska"
us,c000e29y,"Sunday, December 02, 2012 04:44:37 UTC",11.8161,-89.0056,5.1,50.86,?,"169km SSW of Puerto El Triunfo, El Salvador"
us,c000e293,"Sunday, December 02, 2012 03:02:02 UTC",27.8223,139.8549,4.3,503.56,?,"247km WNW of Chichi-shima, Japan"
hv,60436466,"Sunday, December 02, 2012 02:10:46 UTC",20.1335,-155.6157,2.8,34.3,?,"13km NNE of Waimea, Hawaii"
ci,15254369,"Sunday, December 02, 2012 01:59:57 UTC",33.2773,-115.6413,2.6,0.5,?,"12km WNW of Niland, California"
us,c000e26u,"Sunday, December 02, 2012 00:54:23 UTC",-17.0123,167.626,6.4,34.14,?,"101km SSE of Lakatoro, Vanuatu"
ak,10611097,"Sunday, December 02, 2012 00:01:09 UTC",51.1102,178.4703,3.2,29.7,?,"93km S of Little Sitkin Island, Alaska"
us,c000e252,"Saturday, December 01, 2012 22:08:52 UTC",27.5375,53.6715,4.5,10.03,?,"48km WSW of Gerash, Iran"
us,c000e23v,"Saturday, December 01, 2012 20:52:06 UTC",45.7886,26.8127,4.6,90.49,?,"1km WNW of Reghiu, Romania"
hv,60436336,"Saturday, December 01, 2012 19:15:12 UTC",19.3217,-155.1337,2.5,8.4,?,"16km SE of Volcano, Hawaii"
us,c000e21k,"Saturday, December 01, 2012 19:06:43 UTC",-0.5402,123.7164,4.6,26.31,?,"106km SSW of Molibagu, Indonesia"
us,c000e21b,"Saturday, December 01, 2012 18:39:37 UTC",-23.9788,-66.8151,4.5,207.97,?,"56km WNW of San Antonio de los Cobres, Argentina"
us,c000e20l,"Saturday, December 01, 2012 17:29:08 UTC",36.588,71.1117,4.4,97.13,?,"39km WSW of Ashkasham, Afghanistan"
