x,y,z
-21.894799,33.314639,30.003743
-22.504399,33.345119,30.003743
-23.037799,33.340039,30.003743
-23.601679,33.223199,30.003743
-24.104599,33.182559,30.003743
-24.561799,33.248599,30.003743
-24.998679,33.075879,30.003743
-25.511759,33.065719,30.003743
-25.933399,32.887919,30.003743
-26.537919,32.715199,30.003743
-26.863039,32.359599,30.003743
-27.091639,31.897319,30.003743
-27.279599,31.409639,30.003743
-27.320239,30.891479,30.003743
-27.330399,30.434279,30.003743
-27.162759,29.966919,30.003743
-27.304999,29.474159,30.003743
-27.320239,28.940759,30.003743
-27.254199,28.392119,30.003743
-27.249119,27.863799,30.003743
-27.172919,27.330399,30.003743
-27.193239,26.812239,30.003743
-27.117039,26.273759,30.003743
-27.050999,25.730199,30.003743
-27.040839,25.181559,30.003743
-27.035759,24.632919,30.003743
-26.984959,24.104599,30.003743
-26.974799,23.571199,30.003743
-26.888439,23.022559,30.003743
-26.883359,22.539959,30.003743
-26.796999,22.128479,30.003743
-26.796999,21.569679,30.003743
-26.822399,21.066759,30.003743
-26.751279,20.563839,30.003743
-26.908759,20.101559,30.003743
-26.751279,19.684999,30.003743
-26.812239,19.192239,30.003743
-26.756359,18.755359,30.003743
-26.883359,18.196559,30.003743
-26.791919,17.754599,30.003743
-26.802079,17.144999,30.003743
-26.822399,16.657319,30.003743
-26.761439,16.184879,30.003743
-26.883359,15.768319,30.003743
-26.710639,15.407640,30.003743
-26.741119,14.828520,30.003743
-26.725879,14.290040,30.003743
-26.710639,13.848080,30.003743
-26.954479,13.309600,30.003743
-26.741119,12.938760,30.003743
-26.771599,12.354560,30.003743
-26.847799,11.780520,30.003743
-26.847799,11.231880,30.003743
-26.746199,10.678160,30.003743
-26.736039,10.210800,30.003743
-26.786839,9.652000,30.003743
-26.761439,9.235440,30.003743
-26.791919,8.702040,30.003743
-26.700479,8.270240,30.003743
-26.736039,7.696200,30.003743
-26.761439,7.218680,30.003743
-26.639519,6.710680,30.003743
-26.781759,6.217920,30.003743
-26.751279,5.730240,30.003743
-26.776679,5.196840,30.003743
-26.690319,4.800600,30.003743
-26.659839,4.221480,30.003743
